Category: All categories

Month,would have: (United States),could have: (United States),should have: (United States)
2004-01,10,8,18
2004-02,10,8,18
2004-03,11,9,19
2004-04,10,9,21
2004-05,11,12,19
2004-06,8,7,16
2004-07,8,8,15
2004-08,8,8,15
2004-09,11,8,18
2004-10,11,8,21
2004-11,11,9,22
2004-12,10,10,20
2005-01,11,9,20
2005-02,12,10,22
2005-03,12,10,22
2005-04,12,11,25
2005-05,10,11,22
2005-06,9,9,18
2005-07,9,9,18
2005-08,8,9,17
2005-09,11,12,22
2005-10,12,13,24
2005-11,11,11,24
2005-12,10,10,22
2006-01,10,11,23
2006-02,11,10,24
2006-03,11,11,24
2006-04,11,10,23
2006-05,11,9,22
2006-06,8,10,18
2006-07,8,9,18
2006-08,8,9,17
2006-09,10,10,23
2006-10,11,11,22
2006-11,11,10,22
2006-12,10,10,21
2007-01,10,9,23
2007-02,11,11,24
2007-03,10,9,24
2007-04,12,10,24
2007-05,11,11,24
2007-06,9,9,23
2007-07,10,9,22
2007-08,10,10,23
2007-09,13,10,27
2007-10,14,10,29
2007-11,14,11,29
2007-12,12,10,27
2008-01,14,11,30
2008-02,15,11,33
2008-03,15,11,33
2008-04,17,13,35
2008-05,16,12,35
2008-06,15,12,33
2008-07,14,11,34
2008-08,14,11,35
2008-09,17,13,37
2008-10,19,13,39
2008-11,18,13,42
2008-12,17,12,39
2009-01,18,13,42
2009-02,19,14,44
2009-03,20,14,45
2009-04,20,15,45
2009-05,21,15,44
2009-06,17,14,42
2009-07,17,13,42
2009-08,17,13,42
2009-09,22,15,47
2009-10,24,16,51
2009-11,24,16,54
2009-12,22,15,48
2010-01,22,14,50
2010-02,25,16,53
2010-03,28,17,53
2010-04,28,17,54
2010-05,26,17,52
2010-06,21,15,47
2010-07,21,16,48
2010-08,21,14,47
2010-09,26,16,50
2010-10,28,16,52
2010-11,29,17,53
2010-12,27,16,51
2011-01,32,20,66
2011-02,38,22,67
2011-03,36,22,66
2011-04,37,26,67
2011-05,34,30,68
2011-06,28,25,63
2011-07,26,22,61
2011-08,25,21,60
2011-09,35,21,65
2011-10,38,22,64
2011-11,37,21,66
2011-12,31,18,59
2012-01,34,20,67
2012-02,40,24,72
2012-03,38,21,69
2012-04,42,22,73
2012-05,38,21,70
2012-06,32,19,69
2012-07,30,18,70
2012-08,30,18,69
2012-09,42,23,74
2012-10,45,22,72
2012-11,44,22,71
2012-12,38,20,66
2013-01,40,21,76
2013-02,46,22,78
2013-03,44,21,79
2013-04,48,22,80
2013-05,41,21,76
2013-06,31,17,72
2013-07,30,18,70
2013-08,30,18,69
2013-09,45,21,73
2013-10,48,22,76
2013-11,47,22,75
2013-12,39,19,70
2014-01,41,20,77
2014-02,49,23,83
2014-03,48,23,81
2014-04,49,23,86
2014-05,43,21,80
2014-06,34,18,73
2014-07,31,17,72
2014-08,31,17,69
2014-09,47,21,75
2014-10,53,22,78
2014-11,48,21,78
2014-12,41,20,73
2015-01,43,21,82
2015-02,52,22,83
2015-03,50,23,85
2015-04,53,23,84
2015-05,45,22,80
2015-06,36,20,74
2015-07,33,20,74
2015-08,34,20,74
2015-09,53,24,79
2015-10,57,25,82
2015-11,55,25,84
2015-12,47,22,76
2016-01,52,24,89
2016-02,60,26,94
2016-03,57,25,92
2016-04,59,25,90
2016-05,49,23,81
2016-06,38,19,76
2016-07,35,18,74
2016-08,36,19,73
2016-09,58,25,84
2016-10,62,26,88
2016-11,63,26,87
2016-12,51,23,79
2017-01,56,24,93
2017-02,69,28,100
