Category: All categories

Month,could of: (United States),could have: (United States)
2004-01,28,12
2004-02,32,12
2004-03,35,13
2004-04,31,13
2004-05,35,18
2004-06,29,11
2004-07,27,12
2004-08,27,11
2004-09,35,12
2004-10,35,12
2004-11,36,13
2004-12,32,14
2005-01,32,13
2005-02,36,14
2005-03,34,15
2005-04,41,17
2005-05,41,16
2005-06,36,14
2005-07,33,14
2005-08,29,13
2005-09,35,18
2005-10,35,19
2005-11,35,16
2005-12,33,15
2006-01,34,16
2006-02,36,15
2006-03,36,16
2006-04,41,15
2006-05,35,14
2006-06,30,14
2006-07,28,13
2006-08,29,13
2006-09,32,14
2006-10,33,16
2006-11,35,15
2006-12,33,14
2007-01,32,14
2007-02,34,16
2007-03,32,14
2007-04,34,15
2007-05,35,16
2007-06,31,13
2007-07,30,14
2007-08,29,14
2007-09,34,15
2007-10,35,15
2007-11,37,16
2007-12,38,15
2008-01,35,17
2008-02,38,17
2008-03,38,17
2008-04,38,19
2008-05,37,18
2008-06,35,18
2008-07,33,16
2008-08,31,16
2008-09,38,19
2008-10,41,19
2008-11,40,19
2008-12,39,18
2009-01,39,20
2009-02,43,20
2009-03,43,20
2009-04,45,22
2009-05,44,22
2009-06,38,21
2009-07,40,20
2009-08,38,20
2009-09,49,22
2009-10,49,23
2009-11,50,23
2009-12,45,22
2010-01,45,21
2010-02,48,23
2010-03,56,25
2010-04,57,25
2010-05,54,24
2010-06,44,22
2010-07,41,23
2010-08,41,21
2010-09,50,24
2010-10,53,23
2010-11,53,25
2010-12,47,24
2011-01,57,30
2011-02,63,33
2011-03,64,33
2011-04,66,39
2011-05,65,45
2011-06,55,38
2011-07,49,33
2011-08,49,31
2011-09,62,31
2011-10,65,32
2011-11,65,31
2011-12,52,27
2012-01,57,30
2012-02,66,36
2012-03,65,31
2012-04,66,33
2012-05,62,31
2012-06,49,28
2012-07,47,26
2012-08,49,27
2012-09,70,34
2012-10,73,33
2012-11,68,33
2012-12,59,30
2013-01,61,31
2013-02,72,33
2013-03,67,32
2013-04,74,33
2013-05,64,31
2013-06,50,26
2013-07,47,26
2013-08,48,26
2013-09,70,31
2013-10,76,32
2013-11,74,32
2013-12,61,28
2014-01,64,30
2014-02,76,35
2014-03,72,35
2014-04,77,33
2014-05,68,32
2014-06,52,27
2014-07,49,26
2014-08,48,25
2014-09,76,31
2014-10,79,33
2014-11,72,32
2014-12,63,29
2015-01,67,30
2015-02,75,32
2015-03,75,34
2015-04,78,33
2015-05,70,33
2015-06,54,29
2015-07,50,29
2015-08,52,29
2015-09,81,35
2015-10,85,37
2015-11,82,36
2015-12,68,33
2016-01,75,35
2016-02,89,38
2016-03,85,36
2016-04,89,37
2016-05,74,34
2016-06,54,29
2016-07,50,27
2016-08,55,27
2016-09,85,36
2016-10,92,38
2016-11,90,39
2016-12,71,34
2017-01,80,36
2017-02,100,42
