Category: All categories

Month,would of: (United States),could of: (United States),should of: (United States)
2004-01,13,9,16
2004-02,13,10,19
2004-03,13,11,19
2004-04,14,10,22
2004-05,14,11,19
2004-06,10,9,15
2004-07,9,9,14
2004-08,9,9,14
2004-09,13,11,18
2004-10,15,11,21
2004-11,15,11,22
2004-12,14,10,18
2005-01,13,10,20
2005-02,15,11,21
2005-03,14,11,20
2005-04,16,13,24
2005-05,15,13,21
2005-06,12,11,18
2005-07,11,11,16
2005-08,10,9,15
2005-09,12,11,19
2005-10,15,11,21
2005-11,15,11,23
2005-12,14,11,19
2006-01,13,11,20
2006-02,16,12,21
2006-03,14,11,22
2006-04,15,13,22
2006-05,14,11,21
2006-06,10,10,16
2006-07,9,9,15
2006-08,9,9,15
2006-09,12,10,19
2006-10,14,11,20
2006-11,14,11,21
2006-12,12,10,19
2007-01,12,10,19
2007-02,14,11,21
2007-03,13,10,21
2007-04,14,11,22
2007-05,14,11,23
2007-06,11,10,20
2007-07,10,10,20
2007-08,10,9,19
2007-09,15,11,22
2007-10,16,11,26
2007-11,16,12,27
2007-12,14,12,23
2008-01,15,11,26
2008-02,18,12,29
2008-03,17,12,28
2008-04,20,12,31
2008-05,18,12,28
2008-06,14,11,27
2008-07,13,11,27
2008-08,13,10,25
2008-09,20,12,32
2008-10,22,13,35
2008-11,22,13,35
2008-12,21,12,33
2009-01,21,13,35
2009-02,26,14,39
2009-03,26,14,40
2009-04,26,14,43
2009-05,24,14,39
2009-06,18,12,38
2009-07,18,13,36
2009-08,18,12,36
2009-09,29,16,43
2009-10,31,16,45
2009-11,32,16,49
2009-12,27,14,42
2010-01,27,14,43
2010-02,33,15,47
2010-03,37,18,51
2010-04,37,18,52
2010-05,34,17,48
2010-06,25,14,42
2010-07,22,13,42
2010-08,22,13,40
2010-09,33,16,47
2010-10,37,17,49
2010-11,38,17,51
2010-12,31,15,44
2011-01,39,18,56
2011-02,49,20,60
2011-03,47,20,60
2011-04,47,21,63
2011-05,43,21,60
2011-06,33,17,55
2011-07,29,16,54
2011-08,27,15,52
2011-09,46,20,61
2011-10,51,21,63
2011-11,49,21,63
2011-12,38,17,53
2012-01,43,18,60
2012-02,54,21,65
2012-03,51,21,64
2012-04,55,21,67
2012-05,48,20,64
2012-06,36,16,59
2012-07,32,15,58
2012-08,33,16,57
2012-09,57,22,67
2012-10,62,23,67
2012-11,57,22,66
2012-12,46,19,58
2013-01,50,19,63
2013-02,64,23,70
2013-03,58,21,70
2013-04,65,23,74
2013-05,53,20,66
2013-06,38,16,60
2013-07,33,15,58
2013-08,34,15,57
2013-09,65,22,69
2013-10,70,24,74
2013-11,65,24,72
2013-12,50,19,61
2014-01,52,20,69
2014-02,70,24,77
2014-03,67,23,75
2014-04,70,24,80
2014-05,58,22,71
2014-06,41,16,64
2014-07,36,15,63
2014-08,35,15,60
2014-09,70,24,76
2014-10,76,25,78
2014-11,67,23,77
2014-12,54,20,67
2015-01,56,21,72
2015-02,74,24,81
2015-03,71,24,79
2015-04,74,25,81
2015-05,59,22,76
2015-06,44,17,68
2015-07,38,16,66
2015-08,38,16,64
2015-09,77,26,80
2015-10,83,27,84
2015-11,78,26,84
2015-12,61,22,72
2016-01,67,24,82
2016-02,87,28,92
2016-03,81,27,87
2016-04,82,28,88
2016-05,64,24,79
2016-06,45,17,70
2016-07,39,16,66
2016-08,43,17,67
2016-09,84,27,86
2016-10,88,29,90
2016-11,85,29,88
2016-12,64,23,74
2017-01,73,25,85
2017-02,99,32,100
