Category: All categories

Month,should of: (United States),should have: (United States)
2004-01,16,8
2004-02,19,9
2004-03,19,9
2004-04,22,10
2004-05,19,9
2004-06,15,8
2004-07,14,7
2004-08,14,7
2004-09,18,9
2004-10,21,10
2004-11,22,11
2004-12,18,9
2005-01,20,9
2005-02,21,10
2005-03,20,10
2005-04,24,12
2005-05,21,10
2005-06,18,9
2005-07,16,8
2005-08,15,8
2005-09,19,11
2005-10,21,11
2005-11,23,12
2005-12,19,10
2006-01,20,11
2006-02,21,11
2006-03,22,11
2006-04,22,11
2006-05,21,10
2006-06,16,9
2006-07,15,8
2006-08,15,8
2006-09,19,11
2006-10,20,10
2006-11,21,11
2006-12,19,10
2007-01,19,11
2007-02,21,11
2007-03,21,11
2007-04,22,11
2007-05,23,11
2007-06,20,11
2007-07,20,10
2007-08,19,11
2007-09,22,13
2007-10,26,14
2007-11,27,14
2007-12,23,13
2008-01,26,14
2008-02,29,15
2008-03,28,15
2008-04,31,17
2008-05,28,16
2008-06,27,16
2008-07,27,16
2008-08,25,17
2008-09,32,17
2008-10,35,18
2008-11,35,20
2008-12,33,18
2009-01,35,20
2009-02,39,21
2009-03,40,21
2009-04,43,21
2009-05,39,21
2009-06,38,20
2009-07,36,20
2009-08,36,20
2009-09,43,22
2009-10,45,24
2009-11,49,25
2009-12,42,22
2010-01,43,24
2010-02,47,25
2010-03,51,25
2010-04,52,25
2010-05,48,25
2010-06,42,22
2010-07,42,23
2010-08,40,22
2010-09,47,23
2010-10,49,24
2010-11,51,25
2010-12,44,24
2011-01,56,31
2011-02,60,32
2011-03,60,31
2011-04,63,32
2011-05,60,32
2011-06,55,30
2011-07,54,29
2011-08,52,28
2011-09,61,31
2011-10,63,30
2011-11,63,31
2011-12,53,28
2012-01,60,31
2012-02,65,34
2012-03,64,33
2012-04,67,35
2012-05,64,33
2012-06,59,32
2012-07,58,33
2012-08,57,33
2012-09,67,35
2012-10,67,34
2012-11,66,33
2012-12,58,31
2013-01,63,36
2013-02,70,37
2013-03,70,37
2013-04,74,38
2013-05,66,36
2013-06,60,34
2013-07,58,33
2013-08,57,33
2013-09,69,35
2013-10,74,36
2013-11,72,35
2013-12,61,33
2014-01,69,36
2014-02,77,39
2014-03,75,38
2014-04,80,40
2014-05,71,38
2014-06,64,34
2014-07,63,34
2014-08,60,32
2014-09,76,35
2014-10,78,37
2014-11,77,37
2014-12,67,35
2015-01,72,38
2015-02,81,39
2015-03,79,40
2015-04,81,39
2015-05,76,38
2015-06,68,35
2015-07,66,35
2015-08,64,35
2015-09,80,37
2015-10,84,39
2015-11,84,39
2015-12,72,36
2016-01,82,42
2016-02,92,44
2016-03,87,43
2016-04,88,42
2016-05,79,38
2016-06,70,36
2016-07,66,35
2016-08,67,34
2016-09,86,40
2016-10,90,41
2016-11,88,41
2016-12,74,37
2017-01,85,44
2017-02,100,47
