Category: All categories

Month,would of: (United States),would have: (United States)
2004-01,12,5
2004-02,14,5
2004-03,13,5
2004-04,15,4
2004-05,14,5
2004-06,10,4
2004-07,9,4
2004-08,9,4
2004-09,13,5
2004-10,16,5
2004-11,16,5
2004-12,14,5
2005-01,13,5
2005-02,14,5
2005-03,14,6
2005-04,15,6
2005-05,15,5
2005-06,11,4
2005-07,10,4
2005-08,10,4
2005-09,13,5
2005-10,16,5
2005-11,16,5
2005-12,14,5
2006-01,13,5
2006-02,16,5
2006-03,14,5
2006-04,16,5
2006-05,14,5
2006-06,11,4
2006-07,9,4
2006-08,9,4
2006-09,13,5
2006-10,14,5
2006-11,14,5
2006-12,13,5
2007-01,13,5
2007-02,14,5
2007-03,13,5
2007-04,14,5
2007-05,14,6
2007-06,11,4
2007-07,10,5
2007-08,10,4
2007-09,15,6
2007-10,16,7
2007-11,16,6
2007-12,14,6
2008-01,15,7
2008-02,18,7
2008-03,17,7
2008-04,19,8
2008-05,17,7
2008-06,14,7
2008-07,13,7
2008-08,13,7
2008-09,20,8
2008-10,23,9
2008-11,22,9
2008-12,21,8
2009-01,21,9
2009-02,27,9
2009-03,25,10
2009-04,26,9
2009-05,24,10
2009-06,19,8
2009-07,18,8
2009-08,18,8
2009-09,28,10
2009-10,32,11
2009-11,32,11
2009-12,28,10
2010-01,28,10
2010-02,33,12
2010-03,36,13
2010-04,38,14
2010-05,34,12
2010-06,25,10
2010-07,22,10
2010-08,22,10
2010-09,34,12
2010-10,37,13
2010-11,37,14
2010-12,32,13
2011-01,39,15
2011-02,48,18
2011-03,47,17
2011-04,47,17
2011-05,43,16
2011-06,33,14
2011-07,29,12
2011-08,28,12
2011-09,48,16
2011-10,51,18
2011-11,50,18
2011-12,38,15
2012-01,43,16
2012-02,55,19
2012-03,51,18
2012-04,56,20
2012-05,48,18
2012-06,36,15
2012-07,32,14
2012-08,34,14
2012-09,58,20
2012-10,63,21
2012-11,57,21
2012-12,46,17
2013-01,50,19
2013-02,65,22
2013-03,59,21
2013-04,66,23
2013-05,54,20
2013-06,38,15
2013-07,35,15
2013-08,34,14
2013-09,65,21
2013-10,71,23
2013-11,65,23
2013-12,51,19
2014-01,52,19
2014-02,71,24
2014-03,67,23
2014-04,71,23
2014-05,57,21
2014-06,42,16
2014-07,37,15
2014-08,35,14
2014-09,71,23
2014-10,76,25
2014-11,67,23
2014-12,55,20
2015-01,56,20
2015-02,73,25
2015-03,71,24
2015-04,74,25
2015-05,60,22
2015-06,44,17
2015-07,38,16
2015-08,39,16
2015-09,78,25
2015-10,84,27
2015-11,78,26
2015-12,62,22
2016-01,68,25
2016-02,88,29
2016-03,82,27
2016-04,84,28
2016-05,66,23
2016-06,45,18
2016-07,39,17
2016-08,43,17
2016-09,85,27
2016-10,89,30
2016-11,86,30
2016-12,65,24
2017-01,73,26
2017-02,100,33
